Sample,seq.batch,batch,Library
w-29-I,JKL13 A,A,JKL13
Ez-29-I,JKL14 A,A,JKL14
w-29-II,JKL15 A,A,JKL15
Ez-29-II,JKL16 A,A,JKL16
w-29-III,JKL17 A,A,JKL17
Ez-29-III,JKL18 A,A,JKL18
w-29-IV,JKL19 A,A,JKL19
Ez-29-IV,JKL20 A,A,JKL20
w-29-V,JKL21 A,A,JKL21
Ez-29-V,JKL22 A,A,JKL22
w-25-I,JKL7 A,A,JKL7
Ez-25-I,JKL8 A,A,JKL8
w-25-II,JKL10 A,A,JKL10
Ez-25-II,JKL9 A,A,JKL9
w-25-III,JKL11 A,A,JKL11
Ez-25-III,JKL12 A,A,JKL12
w-29-I,JKL13 B,B,JKL13
Ez-29-I,JKL14 B,B,JKL14
w-29-II,JKL15 B,B,JKL15
Ez-29-II,JKL16 B,B,JKL16
w-29-III,JKL17 B,B,JKL17
Ez-29-III,JKL18 B,B,JKL18
w-29-IV,JKL19 B,B,JKL19
Ez-29-IV,JKL20 B,B,JKL20
w-29-V,JKL21 B,B,JKL21
Ez-29-V,JKL22 B,B,JKL22
w-25-I,JKL7 B,B,JKL7
Ez-25-I,JKL8 B,B,JKL8
w-25-II,JKL10 B,B,JKL10
Ez-25-II,JKL9 B,B,JKL9
w-25-III,JKL11 B,B,JKL11
Ez-25-III,JKL12 B,B,JKL12
