"","ensembl","beta","p.value","prod"
"3946","FBgn0031775",0.0906604680845012,9.90702149496973e-08,0.634991076566755
"8941","FBgn0040735",0.0235741362869585,5.32488086202457e-07,0.147896825548245
"2651","FBgn0029507",0.0829110570897742,5.73765678297005e-07,0.51746991471764
"8939","FBgn0040733",0.0227336624042896,4.63118755826868e-06,0.12126834882505
"3366","FBgn0030808",0.022750693165634,6.806960430696e-06,0.117553895727074
"3046","FBgn0030310",0.0480825172140907,7.39150666856553e-06,0.246724235153104
"3045","FBgn0030309",0.0317196161407232,8.57920590613552e-06,0.160709113421204
"274","FBgn0001258",0.0425566591728204,1.09724171975909e-05,0.211068164101498
"5163","FBgn0033928",0.0565477465537967,1.13007413762406e-05,0.279735655213752
"2972","FBgn0030160",0.0274091880983535,1.15687593705911e-05,0.13531130101885
"1428","FBgn0015765",0.0169327368129834,1.62278186991259e-05,0.0811034043331197
"8286","FBgn0039203",0.0384247390177967,1.91442456078908e-05,0.181286448657299
"10561","FBgn0086691",0.0194758340979066,2.0222024327123e-05,0.0914229807616209
"8684","FBgn0039869",0.0108802671478452,2.51755267280922e-05,0.0500385818235396
"7675","FBgn0038198",0.029162043220284,2.99981801957178e-05,0.13189715372879
"7595","FBgn0038071",0.0220653337171283,3.19586587437512e-05,0.0991927539648015
"5325","FBgn0034199",0.0279047935517924,3.36128489744748e-05,0.124831945383911
"11169","FBgn0262524",0.0381155261691548,4.25573344095723e-05,0.166603939957387
"5998","FBgn0035444",0.0126284864209628,4.41414891726856e-05,0.0549989907669227
"9147","FBgn0043841",0.0355506107904339,4.75193605386403e-05,0.153689891130773
"9169","FBgn0044812",0.140102834128321,5.46065214337081e-05,0.597224125090448
"4718","FBgn0033130",0.0340912660236435,6.01985495578316e-05,0.143879255471155
"2971","FBgn0030159",0.0538205785969128,6.07609751009369e-05,0.226927756351144
"651","FBgn0004028",0.017968423126863,7.33360478119508e-05,0.0742937246285804
"4956","FBgn0033574",0.0576487932527646,8.68640464932336e-05,0.234120969934018
"7606","FBgn0038088",0.0295789835163242,8.98496079708554e-05,0.11969087801716
"2393","FBgn0028396",0.093204238064097,9.26597738269066e-05,0.375902829396918
"7254","FBgn0037515",0.0618917082997138,0.000102406478621461,0.246927650751546
"6215","FBgn0035806",0.0456818460354153,0.00010282226480782,0.182175220103943
"4610","FBgn0032897",0.0230626039494014,0.000102993933826038,0.0919549458747792
"10997","FBgn0261560",0.0119846551072215,0.000107543518500141,0.0475600941915029
"4721","FBgn0033134",0.0363442420453778,0.00010998994420084,0.143874025404419
"4760","FBgn0033205",0.0430555606731246,0.00011086098363553,0.170294269467928
"1075","FBgn0011280",0.0472840548906211,0.000113276973539009,0.18657618341246
"1289","FBgn0014380",0.02685548815866,0.00011917853105368,0.105375617391036
"4578","FBgn0032849",0.00434081441968117,0.00012831884975157,0.0168931888973515
"900","FBgn0010038",0.0476785971333868,0.000130730061176925,0.18516576964955
"6948","FBgn0036997",0.0314400005187454,0.000146266682542741,0.120567830257343
"3152","FBgn0030482",0.0315879253236451,0.000154319876510413,0.120399845427107
"7835","FBgn0038465",0.0222227668724564,0.000162792521472208,0.0841879644463728
"4356","FBgn0032455",0.00598513702779721,0.000167384274762093,0.0226015852462313
"5795","FBgn0035049",0.0373733011597489,0.000172789001634849,0.140616444078642
"2751","FBgn0029766",0.0381699574106541,0.00018616252919913,0.142378053167131
"7597","FBgn0038074",0.111482384341757,0.000186646735274588,0.415715537206036
"9753","FBgn0051955",0.0320058037902648,0.000206049689930963,0.117974290043279
"9539","FBgn0051313",0.0402457642037366,0.000207856878807747,0.148194385635596
"1446","FBgn0015801",0.0184521467953084,0.000255668817988942,0.0662860572419091
"6029","FBgn0035498",0.0110080016774873,0.000259500315777992,0.0394731761148039
"10095","FBgn0053126",0.0186463453438727,0.000273102739436725,0.066449495043851
"613","FBgn0003748",0.0133138123082245,0.000291423382047537,0.0470706586387046
"9140","FBgn0043578",0.0871376150387271,0.000302659597240641,0.306641236456346
"10502","FBgn0086251",0.0141659311879012,0.000309072711201885,0.0497215591384164
"9894","FBgn0052368",0.0374012141649929,0.00032305117372814,0.130557490829783
"9690","FBgn0051777",0.0217611984928267,0.000327859950769333,0.0758227970058466
"5644","FBgn0034741",0.0295748672399135,0.000329959317331589,0.102966071566959
"10258","FBgn0054054",0.0268484790027476,0.000368491330589675,0.0921862052177602
"5134","FBgn0033885",0.0264715647762694,0.000406507388095995,0.089763264359945
"5414","FBgn0034364",0.020265738189545,0.000407980579450425,0.0686878927165818
"9235","FBgn0046999",0.0550143828709743,0.000423257209882483,0.185585279053551
"3810","FBgn0031561",0.0423813725149879,0.000452813856472371,0.141726712569009
"8657","FBgn0039828",0.0108586140912697,0.00046021034790478,0.0362356688793888
"6325","FBgn0035996",0.0167978663873556,0.00046151435221981,0.0560345711134553
"3896","FBgn0031701",0.181343333241343,0.000466984371907648,0.603999814465575
"10152","FBgn0053307",0.0501599153776501,0.000510969636621495,0.165106623551894
"8344","FBgn0039300",0.00903553842439628,0.00051122169944812,0.0297394873228167
"9691","FBgn0051778",0.0175187330009012,0.000516508231820661,0.0575827220964324
"8521","FBgn0039622",0.055482338704983,0.000523177900102264,0.182057005932286
"314","FBgn0001987",0.0318581073035757,0.000560579030906565,0.103582276164933
"3654","FBgn0031307",0.0653627736694235,0.000576986878861001,0.211699177808293
"4164","FBgn0032140",0.0247756607221804,0.000604821441181807,0.0797373130981796
"10923","FBgn0261113",0.0140888444655781,0.0006101217426236,0.0452897669246852
"4553","FBgn0032810",0.0152108283485766,0.000658953526886767,0.04838785379016
"7880","FBgn0038533",0.0103146301258125,0.000673718101254227,0.0327130741378939
"8139","FBgn0038972",0.0276549802235433,0.00072404022840877,0.0868432005197454
"5440","FBgn0034407",0.0779661272315061,0.000725943345056412,0.244743257278188
"3862","FBgn0031645",0.0110616492590833,0.000734299614927555,0.0346686102838346
"3239","FBgn0030616",0.00512884618492818,0.000763467312026791,0.0159876883214545
"4470","FBgn0032670",0.0167096845278382,0.000778681797304785,0.0519443933326629
"2029","FBgn0025827",0.0546443848337147,0.000803483890095794,0.169125618397443
"8552","FBgn0039666",0.0739665481685717,0.000811280813588541,0.228617936928564
"9145","FBgn0043806",0.0197832009596384,0.000850548551622704,0.0607403795259811
"11644","FBgn0267488",0.01327522830774,0.000858617020278465,0.0407045117650198
"11470","FBgn0264922",0.00539938289003316,0.000859829523022842,0.0165522814894864
"2786","FBgn0029833",0.0095128430630502,0.000883260871929742,0.029051376149457
"769","FBgn0004635",0.00934045434435103,0.000914900796387086,0.0283821473699512
"7075","FBgn0037217",0.040305742929085,0.000955903761372324,0.121706650195751
"9308","FBgn0050151",0.0183624292406294,0.00101461296676598,0.0549715969201899
