"","ensembl","p.value"
"1","FBgn0031775",9.90702149496973e-08
"2","FBgn0040735",5.32488086202457e-07
"3","FBgn0029507",5.73765678297005e-07
"4","FBgn0040733",4.63118755826868e-06
"5","FBgn0030808",6.806960430696e-06
"6","FBgn0030310",7.39150666856553e-06
"7","FBgn0030309",8.57920590613552e-06
"8","FBgn0001258",1.09724171975909e-05
"9","FBgn0033928",1.13007413762406e-05
"10","FBgn0030160",1.15687593705911e-05
"11","FBgn0015765",1.62278186991259e-05
"12","FBgn0039203",1.91442456078908e-05
"13","FBgn0086691",2.0222024327123e-05
"14","FBgn0039869",2.51755267280922e-05
"15","FBgn0038198",2.99981801957178e-05
"16","FBgn0038071",3.19586587437512e-05
"17","FBgn0034199",3.36128489744748e-05
"18","FBgn0262524",4.25573344095723e-05
"19","FBgn0035444",4.41414891726856e-05
"20","FBgn0043841",4.75193605386403e-05
"21","FBgn0033130",6.01985495578316e-05
"22","FBgn0030159",6.07609751009369e-05
"23","FBgn0033574",8.68640464932336e-05
"24","FBgn0038088",8.98496079708554e-05
"25","FBgn0028396",9.26597738269066e-05
"26","FBgn0037515",0.000102406478621461
"27","FBgn0035806",0.00010282226480782
"28","FBgn0032897",0.000102993933826038
"29","FBgn0261560",0.000107543518500141
"30","FBgn0033134",0.00010998994420084
"31","FBgn0033205",0.00011086098363553
"32","FBgn0011280",0.000113276973539009
"33","FBgn0014380",0.00011917853105368
"34","FBgn0032849",0.00012831884975157
"35","FBgn0010038",0.000130730061176925
"36","FBgn0036997",0.000146266682542741
"37","FBgn0030482",0.000154319876510413
"38","FBgn0038465",0.000162792521472208
"39","FBgn0032455",0.000167384274762093
"40","FBgn0035049",0.000172789001634849
"41","FBgn0029766",0.00018616252919913
"42","FBgn0038074",0.000186646735274588
"43","FBgn0051955",0.000206049689930963
"44","FBgn0051313",0.000207856878807747
"45","FBgn0015801",0.000255668817988942
"46","FBgn0035498",0.000259500315777992
"47","FBgn0053126",0.000273102739436725
"48","FBgn0003748",0.000291423382047537
"49","FBgn0043578",0.000302659597240641
"50","FBgn0086251",0.000309072711201885
"51","FBgn0052368",0.00032305117372814
"52","FBgn0051777",0.000327859950769333
"53","FBgn0034741",0.000329959317331589
"54","FBgn0054054",0.000368491330589675
"55","FBgn0033885",0.000406507388095995
"56","FBgn0034364",0.000407980579450425
"57","FBgn0046999",0.000423257209882483
"58","FBgn0031561",0.000452813856472371
"59","FBgn0039828",0.00046021034790478
"60","FBgn0035996",0.00046151435221981
"61","FBgn0031701",0.000466984371907648
"62","FBgn0053307",0.000510969636621495
"63","FBgn0039300",0.00051122169944812
"64","FBgn0051778",0.000516508231820661
"65","FBgn0039622",0.000523177900102264
"66","FBgn0001987",0.000560579030906565
"67","FBgn0031307",0.000576986878861001
"68","FBgn0032140",0.000604821441181807
"69","FBgn0261113",0.0006101217426236
"70","FBgn0032810",0.000658953526886767
"71","FBgn0038533",0.000673718101254227
"72","FBgn0038972",0.00072404022840877
"73","FBgn0034407",0.000725943345056412
"74","FBgn0031645",0.000734299614927555
"75","FBgn0030616",0.000763467312026791
"76","FBgn0032670",0.000778681797304785
"77","FBgn0025827",0.000803483890095794
"78","FBgn0039666",0.000811280813588541
"79","FBgn0043806",0.000850548551622704
"80","FBgn0267488",0.000858617020278465
"81","FBgn0264922",0.000859829523022842
"82","FBgn0029833",0.000883260871929742
"83","FBgn0004635",0.000914900796387086
"84","FBgn0037217",0.000955903761372324
"85","FBgn0050151",0.00101461296676598
"86","FBgn0053158",0.00104614545529061
"87","FBgn0030993",0.00108061496081808
"88","FBgn0085256",0.00109079390508993
"89","FBgn0040551",0.00111033571295128
"90","FBgn0034140",0.00113311599147603
"91","FBgn0050026",0.00114123075254282
"92","FBgn0020416",0.00118811860942962
"93","FBgn0014865",0.00121328554546603
"94","FBgn0034394",0.00128810261837875
"95","FBgn0027836",0.00136232654010035
"96","FBgn0032899",0.00139829031106186
"97","FBgn0036101",0.00149087828688665
"98","FBgn0035501",0.00150651381114329
"99","FBgn0026084",0.00156461158983877
"100","FBgn0001225",0.00157556810005901
