"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0000024",25611.6021826937,-0.514218270506517,0.10121116969855,-5.08064744274845,3.76150650059054e-07,3.58466434343821e-06,"FBgn0000024",41625,"Ace","CG17907",0.00387322324365808
"FBgn0000036",5658.40383253448,-0.708437019969689,0.137897565588019,-5.13741498589036,2.78543407474876e-07,2.74343149743112e-06,"FBgn0000036",42918,"nAChRalpha1","CG5610",0.0028681614667688
"FBgn0000038",32278.5783420654,-0.640333537594713,0.081563603841981,-7.8507263955045,4.13634459015858e-15,1.70475397518381e-13,"FBgn0000038",38545,"nAChRbeta1","CG11348",4.25919402448629e-11
"FBgn0000045",1259.82282817263,-0.560834264768125,0.120155275088448,-4.66757921660356,3.0476925930157e-06,2.32670393516011e-05,"FBgn0000045",40444,"Act79B","CG7478",0.0313820906302827
"FBgn0000046",72.0731517375076,-0.574171843368714,0.243669887977861,-2.35635124279649,0.0184554578354384,0.0451048158783394,"FBgn0000046",48632,"Act87E","CG18290",1
"FBgn0000047",4.87647289196464,-0.666888199406904,0.241100126763071,-2.76602177012646,0.00567447464786419,0.0166697020888993,"FBgn0000047",41885,"Act88F","CG5178",1
"FBgn0000052",613.731280637352,0.903138689147563,0.112111406358714,8.05572526900486,7.90089133305829e-16,3.676877304122e-14,"FBgn0000052",33847,"ade2","CG9127",8.13554780565012e-12
"FBgn0000064",21436.1227103955,-0.506203561161374,0.0756353068751314,-6.6926886671734,2.19106978392633e-11,5.15444096459964e-10,"FBgn0000064",43183,"Ald","CG6058",2.25614455650894e-07
"FBgn0000078",106.858173972808,0.993635909738082,0.244092798174556,4.07073013693551,4.68660159870434e-05,0.00025810973005882,"FBgn0000078",36932,"Amy-d","CG17876",0.482579366618586
"FBgn0000079",99.8873549627682,1.02562973022624,0.243108383392545,4.21881679238585,2.45587725582806e-05,0.000147233993936358,"FBgn0000079",47764,"Amy-p","CG18730",0.252881681032615
"FBgn0000116",39412.9295723986,-0.694688685830522,0.0919454056722019,-7.5554475044374,4.17422155819892e-14,1.46150095873115e-12,"FBgn0000116",39041,"Argk","CG32031",4.29819593847743e-10
"FBgn0000120",10279.6630124455,0.580113043718601,0.205562040512487,2.82208253173747,0.00477128966965008,0.0144028471136005,"FBgn0000120",35078,"Arr1","CG5711",1
"FBgn0000121",16866.2048430973,0.581048175179124,0.19955470269593,2.91172378966429,0.00359440324071656,0.0112769353358324,"FBgn0000121",38993,"Arr2","CG5962",1
"FBgn0000147",254.045914282042,0.702283735652424,0.106808995867931,6.57513657857806,4.86085287887838e-11,1.0562425253734e-09,"FBgn0000147",41446,"aurA","CG3068",5.00522020938107e-07
"FBgn0000152",586.407602040107,0.800430035501946,0.0930961903841065,8.59788174144876,8.12009080963329e-18,4.65093816680996e-16,"FBgn0000152",32645,"Axs","CG9703",8.3612575066794e-14
"FBgn0000256",4005.89463045087,-0.538531295269805,0.0587319703224544,-9.16930408282103,4.76082494458923e-20,3.45283466273488e-18,"FBgn0000256",33611,"capu","CG3399",4.90222144544353e-16
"FBgn0000276",19.2748028456476,0.681180885669893,0.232942825138056,2.92424068123233,0.00345297649634505,0.0108729333204617,"FBgn0000276",43597,"CecA1","CG1365",1
"FBgn0000277",14.8149727329254,0.882008350370208,0.234516067810892,3.76097193937874,0.000169254418293364,0.000797176959165363,"FBgn0000277",43597,"CecA2","CG1367",1
"FBgn0000279",11.903608900034,0.552752024725895,0.217428227795511,2.54222752183655,0.0110148446402325,0.0292359315082597,"FBgn0000279",43599,"CecC","CG1373",1
"FBgn0000299",5222.64773246938,-1.97064065598386,0.136285062240057,-14.4596966358111,2.17755452663474e-47,1.21605532539917e-44,"FBgn0000299",33727,"Cg25C","CG4145",2.24222789607579e-43
"FBgn0000346",20731.5575533889,-0.574453287696777,0.0531936715952613,-10.7992787575872,3.46917879137096e-27,5.69812616482679e-25,"FBgn0000346",47091,"comt","CG1618",3.57221340147467e-23
"FBgn0000357",125.277841846861,0.931358840443373,0.197414564983225,4.71778179346856,2.38430021562204e-06,1.86541932688246e-05,"FBgn0000357",38998,"Cp18","CG6517",0.0245511393202601
"FBgn0000406",711.948348978793,0.603752450561202,0.226402778847032,2.66671837525954,0.00765958267562721,0.0216035047737576,"FBgn0000406",35008,"Cyt-b5-r","CG13279",1
"FBgn0000451",12.327439917061,-1.08647474731502,0.231230519495267,-4.69866499321365,2.61867589132674e-06,2.03252196179488e-05,"FBgn0000451",44135,"ect","CG6611",0.0269645056529914
"FBgn0000454",1986.28943110702,-0.695415939584355,0.151691917295418,-4.58439679571088,4.55298898702462e-06,3.32585572243807e-05,"FBgn0000454",48450,"Dip-B","CG9285",0.0468821275993925
"FBgn0000459",272.196188259263,-0.57098348538645,0.0853709190458001,-6.68826682163428,2.25829115713785e-11,5.28781004907184e-10,"FBgn0000459",32579,"disco","CG9908",2.32536240450485e-07
"FBgn0000500",4508.7022059739,0.780990490631605,0.0905330818936739,8.62657576982561,6.32161265642121e-18,3.63948926595714e-16,"FBgn0000500",45845,"Dsk","CG18090",6.50936455231692e-14
"FBgn0000527",3849.38414329253,-0.848684660115013,0.148891031436737,-5.70003882655361,1.19780144087338e-08,1.57762314777297e-07,"FBgn0000527",42521,"e","CG3331",0.000123337614366732
"FBgn0000535",6714.45280279932,-0.554876972235486,0.121354463903852,-4.57236556765733,4.82248620842985e-06,3.49528542906898e-05,"FBgn0000535",32428,"eag","CG10952",0.0496571404882022
"FBgn0000546",3873.21354993333,-0.511853590562847,0.114692238455899,-4.46284419463715,8.08788634534731e-06,5.46813575007168e-05,"FBgn0000546",35540,"EcR","CG1765",0.0832809656980413
"FBgn0000547",2843.22316714802,-0.573242645382981,0.0853431095332412,-6.71691772795907,1.85608692682488e-11,4.4486340956453e-10,"FBgn0000547",33619,"ed","CG12676",1.91121270855158e-07
"FBgn0000579",23330.8880886319,-0.611414206271009,0.0756899698607698,-8.07787620203435,6.59044606155236e-16,3.10585198571638e-14,"FBgn0000579",33351,"Eno","CG17654",6.78618230958046e-12
"FBgn0000588",576.677383552461,-0.888679743800971,0.153046781697813,-5.80658890008969,6.37584260465898e-09,9.0485115694328e-08,"FBgn0000588",34595,"esc","CG14941",6.56520513001735e-05
"FBgn0000611",4659.30505899087,-0.512061499462487,0.120529224059656,-4.24844267817607,2.15261709757597e-05,0.000129895648350692,"FBgn0000611",32567,"exd","CG8933",0.221654982537398
"FBgn0000633",4742.22477447187,-0.517316932855832,0.0873343701868576,-5.92340600555083,3.15341003575287e-09,4.76595895660674e-08,"FBgn0000633",36521,"fas","CG17716",3.24706631381473e-05
"FBgn0000636",1354.52709502284,-0.513392830796363,0.0994596669767051,-5.16181932236519,2.44561277919645e-07,2.4432065412205e-06,"FBgn0000636",35097,"Fas3","CG5803",0.00251824747873859
"FBgn0000639",26.5083383327684,1.11957534745994,0.23436725464662,4.77701268100799,1.77918557723358e-06,1.43789607178885e-05,"FBgn0000639",39566,"Fbp1","CG17285",0.0183202738887742
"FBgn0000715",1423.74385409836,0.567555781868209,0.0898674073852184,6.31547964252902,2.69324840323201e-10,5.02185165537535e-09,"FBgn0000715",NA,"FMRFa","CG2346",2.77323788080801e-06
"FBgn0000808",14.5584070318607,0.568789894128265,0.238718817984781,2.38267723897882,0.0171872561180639,0.0425546406197633,"FBgn0000808",32159,"gd","CG1505",1
"FBgn0000928",77.3795043998307,0.53510601989705,0.170254011316233,3.14298626951664,0.00167233684357173,0.00579352673878805,"FBgn0000928",31262,"fs(1)Yb","CG2706",1
"FBgn0001091",7776.41523478963,-0.838405675899032,0.0899181348259069,-9.32409994404681,1.11929523687866e-20,8.44689763560657e-19,"FBgn0001091",35728,"Gapdh1","CG12055",1.15253830541395e-16
"FBgn0001098",9612.70128942579,-0.621791040347805,0.0596682797059696,-10.4207971708224,1.99275849311526e-25,2.54687636577831e-23,"FBgn0001098",42832,"Gdh","CG5320",2.05194342036078e-21
"FBgn0001122",23894.5270944151,-0.524662238945719,0.101556702936996,-5.16620000229046,2.38901154041282e-07,2.39738273988057e-06,"FBgn0001122",36104,"Galphao","CG2204",0.00245996518316308
"FBgn0001125",3688.66131793944,-0.532214462499596,0.0595863168722612,-8.93182345269865,4.19043839427581e-19,2.76940866424062e-17,"FBgn0001125",33373,"Got2","CG4233",4.3148944145858e-15
"FBgn0001128",8923.61479198487,-0.94440755236788,0.0761038798236962,-12.4094534280738,2.32232679151512e-35,7.86002058619163e-33,"FBgn0001128",33824,"Gpdh","CG9042",2.39129989722312e-31
"FBgn0001134",569.635456510558,-0.657855740475338,0.104600876853014,-6.28919909916017,3.19107989415992e-10,5.86203475951844e-09,"FBgn0001134",39984,"Grd","CG7446",3.28585496701647e-06
"FBgn0001142",5940.11130640211,-0.577145756465603,0.0638926868496734,-9.03304877166162,1.66954226691617e-19,1.15820606081905e-17,"FBgn0001142",33172,"Gs1","CG2718",1.71912767224358e-15
"FBgn0001145",57655.2806407323,-0.672508334152885,0.0537797203478766,-12.5048685601698,7.02158675020612e-36,2.45075320040788e-33,"FBgn0001145",32087,"Gs2","CG1743",7.23012787668724e-32
"FBgn0001168",396.59673733034,0.867580884332172,0.190297054814417,4.55908729211947,5.13764145377494e-06,3.68071311078976e-05,"FBgn0001168",38995,"h","CG6494",0.0529022940495206
"FBgn0001189",653.991117680381,0.532024672437551,0.0772065894742539,6.89092312016923,5.54314917533715e-12,1.46362726097732e-10,"FBgn0001189",31120,"hfw","CG3095",5.70778070584466e-08
"FBgn0001208",329.510666573451,0.683179576791054,0.173446356953072,3.93885226990323,8.18723196765801e-05,0.000418504319664862,"FBgn0001208",38871,"Hn","CG7399",0.843039275709745
"FBgn0001224",1571.1499998305,-0.926103883601135,0.0900666275852662,-10.2824310005878,8.45671906921751e-25,1.02666407917489e-22,"FBgn0001224",39077,"Hsp23","CG4463",8.70788362557327e-21
"FBgn0001225",629.493665955938,-1.50528100472988,0.20786779773213,-7.24153053600763,4.43649245817705e-13,1.36881724489999e-11,"FBgn0001225",39075,"Hsp26","CG4183",4.56825628418491e-09
"FBgn0001226",165.335325299949,-1.52616278479097,0.19102003674907,-7.98954293363364,1.35439953649557e-15,6.00289223139645e-14,"FBgn0001226",39078,"Hsp27","CG4466",1.39462520272949e-11
"FBgn0001227",1608.34659198036,-0.590407016273867,0.0770530621388359,-7.66234332400779,1.82570791592476e-14,6.8427287627395e-13,"FBgn0001227",39076,"Hsp67Ba","CG4167",1.87993144102773e-10
"FBgn0001229",540.426215210578,-1.02977045962025,0.0795114624611458,-12.9512202108402,2.31248853244062e-38,9.93391708416511e-36,"FBgn0001229",39071,"Hsp67Bc","CG4190",2.38116944185411e-34
"FBgn0001233",27601.9201022186,0.806118277358791,0.182799931411396,4.4098390581154,1.0344747235515e-05,6.80535673585384e-05,"FBgn0001233",38389,"Hsp83","CG1242",0.106519862284098
"FBgn0001250",946.941271517594,-0.603419858148892,0.0924716050991903,-6.52546105911788,6.77926699382478e-11,1.42326377921107e-09,"FBgn0001250",32661,"if","CG9623",6.98061122354138e-07
"FBgn0001258",279.835500381959,1.37687911610523,0.165634670592684,8.31274703042786,9.35117214172491e-17,4.99728428951797e-15,"FBgn0001258",45880,"ImpL3","CG10160",9.62890195433414e-13
"FBgn0002526",336.343106568863,-1.55073509511722,0.145628657569913,-10.6485572345041,1.77088346308429e-26,2.56870096093356e-24,"FBgn0002526",NA,"LanA","CG10236",1.82347870193789e-22
"FBgn0002542",197.863823643971,0.933863619084365,0.159115537153307,5.86909132691794,4.38190029707423e-09,6.439478183707e-08,"FBgn0002542",45894,"lds","CG2684",4.51204273589733e-05
"FBgn0002564",13.1812698607647,-0.946794956878347,0.228533126889089,-4.14292216523097,3.42908350152904e-05,0.000195704821811844,"FBgn0002564",38015,"Lsp1gamma","CG6821",0.353092728152445
"FBgn0002609",93.2582670288325,0.643437230824035,0.180947703667868,3.555929242435,0.00037664544630905,0.00160685752094185,"FBgn0002609",43156,"E(spl)m3-HLH","CG8346",1
"FBgn0002643",3773.99924876512,-0.505466940700019,0.084943693833959,-5.95061172743517,2.67142137227745e-09,4.13829477211746e-08,"FBgn0002643",36555,"mam","CG8118",2.75076258703409e-05
"FBgn0002733",228.7396785456,0.644299390234058,0.173060654143846,3.72296865177988,0.000196893976459292,0.00090872265416274,"FBgn0002733",43152,"E(spl)mbeta-HLH","CG14548",1
