"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","geneSymbol"
"FBgn0000003",0.103876233166007,0.00166430155844966,0.0612146699379257,0.0271879528246633,0.978309824408886,NA,"FBgn0000003","7SLRNA:CR32864"
"FBgn0000008",1564.51451794987,0.0850465226447136,0.0860903838968649,0.987874821729198,0.323213957854699,1,"FBgn0000008","a"
"FBgn0000014",0.416401897264462,0.0598549630467127,0.111886870238236,0.534959668808916,0.592677746277207,NA,"FBgn0000014","abd-A"
"FBgn0000015",1.23010901880591,-0.12016928062042,0.183383384776997,-0.655289904080197,0.512281119719206,NA,"FBgn0000015","Abd-B"
"FBgn0000017",9581.81949016144,-0.300897908421089,0.0938205098180752,-3.20716556544568,0.00134049822397025,1,"FBgn0000017","Abl"
"FBgn0000018",275.051513737868,0.32610613999707,0.096299401230622,3.38637764959823,0.000708218489256066,1,"FBgn0000018","abo"
"FBgn0000022",0,NA,NA,NA,NA,NA,"FBgn0000022","ac"
"FBgn0000024",25611.6021826937,-0.514218270506517,0.10121116969855,-5.08064744274845,3.76150650059054e-07,0.00387322324365808,"FBgn0000024","Ace"
"FBgn0000028",1068.74444417301,-0.437646761508599,0.104600704658952,-4.18397526991366,2.86455286720242e-05,0.294963008735833,"FBgn0000028","acj6"
"FBgn0000032",644.916280571235,-0.0505928942086387,0.0639275160260608,-0.791410293308031,0.428704605289011,1,"FBgn0000032","Acph-1"
"FBgn0000036",5658.40383253448,-0.708437019969689,0.137897565588019,-5.13741498589036,2.78543407474876e-07,0.0028681614667688,"FBgn0000036","nAChRalpha1"
"FBgn0000037",8943.38481816779,-0.137272033933115,0.0695378312287856,-1.97406262903826,0.0483746220180892,1,"FBgn0000037","mAChR-A"
"FBgn0000038",32278.5783420654,-0.640333537594713,0.081563603841981,-7.8507263955045,4.13634459015858e-15,4.25919402448629e-11,"FBgn0000038","nAChRbeta1"
"FBgn0000039",4377.85766881452,-0.250474034235407,0.0713983980259542,-3.50811840546278,0.000451288143533197,1,"FBgn0000039","nAChRalpha2"
"FBgn0000042",34150.7906628887,0.0268654379108599,0.0817083020164183,0.32879691840202,0.74230919246063,1,"FBgn0000042","Act5C"
"FBgn0000043",1089.14135053304,-0.265629580630278,0.0618896076483005,-4.29199005654986,1.77078880411937e-05,0.182338123160172,"FBgn0000043","Act42A"
"FBgn0000044",433.609950853465,-0.0154878652371986,0.239575175673964,-0.0646472039251509,0.948454899991295,1,"FBgn0000044","Act57B"
"FBgn0000045",1259.82282817263,-0.560834264768125,0.120155275088448,-4.66757921660356,3.0476925930157e-06,0.0313820906302827,"FBgn0000045","Act79B"
"FBgn0000046",72.0731517375076,-0.574171843368714,0.243669887977861,-2.35635124279649,0.0184554578354384,1,"FBgn0000046","Act87E"
"FBgn0000047",4.87647289196464,-0.666888199406904,0.241100126763071,-2.76602177012646,0.00567447464786419,1,"FBgn0000047","Act88F"
"FBgn0000052",613.731280637352,0.903138689147563,0.112111406358714,8.05572526900486,7.90089133305829e-16,8.13554780565012e-12,"FBgn0000052","ade2"
"FBgn0000053",635.312757717371,0.29790230390672,0.11223972632412,2.65416099685109,0.00795058830501082,1,"FBgn0000053","ade3"
"FBgn0000055",24.8894572454895,0.0555142995058798,0.209503209802187,0.264980663343041,0.791024357943112,1,"FBgn0000055","Adh"
"FBgn0000056",0,NA,NA,NA,NA,NA,"FBgn0000056","Adhr"
"FBgn0000057",1006.09105708682,0.0888589988466012,0.0730560007080497,1.21631348534536,0.223865526374173,1,"FBgn0000057","adp"
"FBgn0000061",0.842130719522731,-0.188432526826068,0.173605175078158,-1.08540846631579,0.277740784282764,NA,"FBgn0000061","al"
"FBgn0000063",211.398662071711,0.467616352936646,0.111850265924673,4.18073528096542,2.90567980878344e-05,0.299197849910431,"FBgn0000063","ald"
"FBgn0000064",21436.1227103955,-0.506203561161374,0.0756353068751314,-6.6926886671734,2.19106978392633e-11,2.25614455650894e-07,"FBgn0000064","Ald"
"FBgn0000071",18.3646337106847,0.424820105394556,0.244023098184398,1.74090120384234,0.0817008976728616,1,"FBgn0000071","Ama"
"FBgn0000075",67.913647341835,-0.446396693889034,0.156748258252609,-2.84785744266223,0.00440146358080599,1,"FBgn0000075","amd"
"FBgn0000077",371.684041272614,0.0105237049038712,0.0861745310488657,0.12212082590741,0.902803328634348,1,"FBgn0000077","amx"
"FBgn0000078",106.858173972808,0.993635909738082,0.244092798174556,4.07073013693551,4.68660159870434e-05,0.482579366618586,"FBgn0000078","Amy-d"
"FBgn0000079",99.8873549627682,1.02562973022624,0.243108383392545,4.21881679238585,2.45587725582806e-05,0.252881681032615,"FBgn0000079","Amy-p"
"FBgn0000083",4157.80596158781,0.163732769293274,0.0704525484791486,2.32401485578244,0.0201246978429936,1,"FBgn0000083","AnxB9"
