"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0000109",323.514104129677,1.07566826808354,0.0608851622797812,17.6671659860346,7.50749412517179e-70,1.92817474114829e-67,"FBgn0000109",48224,"Aprt","CG18315",9.25523875751178e-66
"FBgn0000120",10279.6630124455,-0.504225979687813,0.136197860057798,-3.70215787145139,0.000213773524910711,0.0020392519103039,"FBgn0000120",35078,"Arr1","CG5711",1
"FBgn0000121",16866.2048430973,-0.54534043452677,0.132617506041286,-4.11213007095003,3.92025315479316e-05,0.000453972706243346,"FBgn0000121",38993,"Arr2","CG5962",0.483288808922901
"FBgn0000146",209.235180315917,-1.02400152098295,0.0768048655011045,-13.3325084850024,1.49775471370909e-40,2.00699131637018e-38,"FBgn0000146",34524,"aub","CG6137",1.84643201106057e-36
"FBgn0000206",223.818100449353,-0.713813434780605,0.137066357242464,-5.20779459775023,1.91098291462379e-07,3.40442158547428e-06,"FBgn0000206",43146,"boss","CG8285",0.0023558597371482
"FBgn0000276",19.2748028456476,-0.811067164967524,0.134713377078788,-6.02068764479988,1.73677631169669e-09,4.29077722857652e-08,"FBgn0000276",43597,"CecA1","CG1365",2.14109783705968e-05
"FBgn0000277",14.8149727329254,-0.916215779717496,0.138065167503187,-6.63611102124181,3.22067300922065e-11,9.47600402331078e-10,"FBgn0000277",43597,"CecA2","CG1367",3.97044568576722e-07
"FBgn0000279",11.903608900034,-0.517871506278166,0.121765033980446,-4.25303955782026,2.10888305304603e-05,0.000257409012652985,"FBgn0000279",43599,"CecC","CG1373",0.259983102779515
"FBgn0000316",2276.30487986292,1.16777443741636,0.0320821097958512,36.3995524249273,4.32696957641747e-290,7.62041156258208e-287,"FBgn0000316",30973,"cin","CG2945",5.33428809380745e-286
"FBgn0000406",711.948348978793,0.525324470817644,0.146963876625269,3.57451424717874,0.000350878707391019,0.00311645007544416,"FBgn0000406",35008,"Cyt-b5-r","CG13279",1
"FBgn0000451",12.327439917061,-0.519147817287162,0.150990504563703,-3.43828122693724,0.000585419366728334,0.00480496002198862,"FBgn0000451",44135,"ect","CG6611",1
