"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg"
"FBgn0000003",0.103876233166007,0.0067967778541268,0.0303645839326116,0.223838991807395,0.822882588582645,NA,"FBgn0000003",NA,"7SLRNA:CR32864","CR32864"
"FBgn0000008",1564.51451794987,-0.0419818515807138,0.057333259703451,-0.732242537714751,0.464020545154678,0.724142641577979,"FBgn0000008",43852,"a","CG6741"
"FBgn0000014",0.416401897264462,0.0780898299337019,0.0563153553177604,1.38665253007956,0.16554774207159,NA,"FBgn0000014",42037,"abd-A","CG10325"
"FBgn0000015",1.23010901880591,-0.116483024535831,0.0963277517635246,-1.2092364080269,0.226572034010141,0.493203387454131,"FBgn0000015",47763,"Abd-B","CG11648"
"FBgn0000017",9581.81949016144,0.0618061841926742,0.0627723041209787,0.984609137073533,0.324816099801072,0.601411794638139,"FBgn0000017",45821,"Abl","CG4032"
"FBgn0000018",275.051513737868,0.0303526005197159,0.0602997916761488,0.503361614957646,0.614710053902538,0.827669893458987,"FBgn0000018",44793,"abo","CG6093"
"FBgn0000022",0,NA,NA,NA,NA,NA,"FBgn0000022",30981,"ac","CG3796"
"FBgn0000024",25611.6021826937,-0.0274377218072629,0.0677434681470434,-0.405023872526084,0.685459963303477,0.872433643162702,"FBgn0000024",41625,"Ace","CG17907"
"FBgn0000028",1068.74444417301,0.0548043047574551,0.0704576245289324,0.777833557742932,0.436667141909532,0.700321679269679,"FBgn0000028",47080,"acj6","CG9151"
"FBgn0000032",644.916280571235,-0.00445168979672896,0.0423254455775962,-0.105177623908709,0.916234865762008,0.969614825386375,"FBgn0000032",48445,"Acph-1","CG7899"
"FBgn0000036",5658.40383253448,-0.0429788626752886,0.0925189557808205,-0.464541156053539,0.642260080174145,0.845645868673167,"FBgn0000036",42918,"nAChRalpha1","CG5610"
"FBgn0000037",8943.38481816779,0.114424316278007,0.0464213686838156,2.46490613099696,0.013704915010259,0.0670985672146437,"FBgn0000037",37892,"mAChR-A","CG4356"
"FBgn0000038",32278.5783420654,0.112942063121984,0.0545453167208686,2.07060972255338,0.0383952828421343,0.148219390664035,"FBgn0000038",38545,"nAChRbeta1","CG11348"
"FBgn0000039",4377.85766881452,0.00717747705180636,0.0477184901525269,0.150412911826513,0.880438854995052,0.957400129754639,"FBgn0000039",42919,"nAChRalpha2","CG6844"
"FBgn0000042",34150.7906628887,0.0474464198267922,0.0546002275743222,0.86897842618344,0.384858930986406,0.657008157481466,"FBgn0000042",31521,"Act5C","CG4027"
"FBgn0000043",1089.14135053304,-0.10417827837221,0.0417078534082865,-2.49780964156531,0.0124963277333429,0.062446180906628,"FBgn0000043",35526,"Act42A","CG12051"
"FBgn0000044",433.609950853465,0.0285381114092238,0.151039541731185,0.188944637160082,0.850136208221372,0.943762194953,"FBgn0000044",37368,"Act57B","CG10067"
"FBgn0000045",1259.82282817263,0.273963067310775,0.0802175566788215,3.41525070886514,0.0006372332968593,0.00517510677449371,"FBgn0000045",40444,"Act79B","CG7478"
"FBgn0000046",72.0731517375076,-0.0955940046656246,0.148567308477801,-0.643439028714103,0.519939265531616,0.764707703237739,"FBgn0000046",48632,"Act87E","CG18290"
"FBgn0000047",4.87647289196464,-0.074500036521206,0.139721164997495,-0.533205091172419,0.593891617640954,0.813589939135202,"FBgn0000047",41885,"Act88F","CG5178"
"FBgn0000052",613.731280637352,-0.289764699960746,0.0721465209497561,-4.01633642407432,5.91098582868096e-05,0.000653573377762091,"FBgn0000052",33847,"ade2","CG9127"
"FBgn0000053",635.312757717371,0.415926147860083,0.0726503572720092,5.72503926309433,1.03409822092757e-08,2.27649336921341e-07,"FBgn0000053",33986,"ade3","CG31628"
"FBgn0000055",24.8894572454895,-0.328142069615403,0.137429641206267,-2.38770957076791,0.0169537335933694,0.0793491373344943,"FBgn0000055",NA,"Adh","CG3481"
"FBgn0000056",0,NA,NA,NA,NA,NA,"FBgn0000056",3772432,"Adhr","CG3484"
"FBgn0000057",1006.09105708682,-0.00555449009485132,0.0482467541919572,-0.115126710343082,0.908344688869751,0.96635983048891,"FBgn0000057",37073,"adp","CG5124"
"FBgn0000061",0.842130719522731,0.0494510031808168,0.0912377036671955,0.542001839077377,0.587817238961445,0.809315492731371,"FBgn0000061",33208,"al","CG3935"
"FBgn0000063",211.398662071711,-0.0959080318050229,0.0695054372302903,-1.37986372903826,0.167628606137461,0.413974801420003,"FBgn0000063",42126,"ald","CG7643"
"FBgn0000064",21436.1227103955,0.012939184547589,0.050541105097732,0.256013091177335,0.797940728806427,0.922623645162787,"FBgn0000064",43183,"Ald","CG6058"
"FBgn0000071",18.3646337106847,-0.235878424555017,0.151495363248729,-1.55700095037065,0.119470259773375,0.333803638258401,"FBgn0000071",40831,"Ama","CG2198"
"FBgn0000075",67.913647341835,-0.106703493485273,0.108912912903227,-0.979713889206903,0.327227368173088,0.604093892219244,"FBgn0000075",35188,"amd","CG10501"
"FBgn0000077",371.684041272614,-0.0802839378123946,0.0569705766373611,-1.4092175742477,0.158770842705072,0.399793772920446,"FBgn0000077",43869,"amx","CG12127"
"FBgn0000078",106.858173972808,0.118620873647357,0.148488925295318,0.798853338129026,0.424375458347007,0.691009528791922,"FBgn0000078",36932,"Amy-d","CG17876"
"FBgn0000079",99.8873549627682,-0.267880785968136,0.145817079224035,-1.83710157543727,0.0661949016498141,0.220316076549381,"FBgn0000079",47764,"Amy-p","CG18730"
"FBgn0000083",4157.80596158781,-0.176553893180926,0.0467512475981947,-3.77645308416847,0.000159077506658106,0.00157899154756935,"FBgn0000083",42492,"AnxB9","CG5730"
"FBgn0000084",2745.00331035928,-0.0858339641755444,0.071460733739553,-1.20113466072678,0.229698969828168,0.496446160596363,"FBgn0000084",33019,"AnxB10","CG9579"
"FBgn0000092",64.736553571708,0.0755479000726012,0.125118871154245,0.603808996801663,0.545970637270912,0.782969066730886,"FBgn0000092",31252,"CG2650","CG2650"
"FBgn0000094",0.468192808818872,0.0668602848566555,0.0668783260079796,0.999730239191064,0.31744107390811,NA,"FBgn0000094",43595,"Anp","CG1361"
"FBgn0000097",1551.90112527022,-0.00417333482573888,0.0644343454374261,-0.0647687936830477,0.948358088294431,0.979692884062461,"FBgn0000097",33392,"aop","CG3166"
"FBgn0000100",17540.5732202367,-0.0698791395112096,0.052838933877384,-1.32249336584588,0.186003917039989,0.440718102876991,"FBgn0000100",40451,"RpLP0","CG7490"
"FBgn0000108",55029.0965028711,-0.00389510299981842,0.0660917538192014,-0.0589347804337852,0.953004055405435,0.982205473227186,"FBgn0000108",31002,"Appl","CG7727"
"FBgn0000109",323.514104129677,1.07566826808354,0.0608851622797812,17.6671659860346,7.50749412517179e-70,1.92817474114829e-67,"FBgn0000109",48224,"Aprt","CG18315"
"FBgn0000114",1734.23741851202,0.0702213527321621,0.0536037808440729,1.31000745892212,0.190193312297773,0.445990099780337,"FBgn0000114",34648,"aret","CG31762"
"FBgn0000115",542.025379422983,-0.0122143387906185,0.0543494291718292,-0.224737204727617,0.82218371967283,0.932807003140682,"FBgn0000115",39745,"Arl1","CG6025"
"FBgn0000116",39412.9295723986,0.149746669250894,0.0615044750531161,2.43472802786416,0.0149029864885935,0.071773261654068,"FBgn0000116",39041,"Argk","CG32031"
"FBgn0000117",20146.0486656842,-0.00898737485653417,0.0330849895578345,-0.271645086688745,0.785894928359906,0.916084784116956,"FBgn0000117",31151,"arm","CG11579"
"FBgn0000119",1896.58313114182,0.114648864765653,0.0477669251756535,2.40017259524357,0.0163873430712599,0.0772524951177487,"FBgn0000119",44279,"arr","CG5912"
"FBgn0000120",10279.6630124455,-0.504225979687813,0.136197860057798,-3.70215787145139,0.000213773524910711,0.0020392519103039,"FBgn0000120",35078,"Arr1","CG5711"
"FBgn0000121",16866.2048430973,-0.54534043452677,0.132617506041286,-4.11213007095003,3.92025315479316e-05,0.000453972706243346,"FBgn0000121",38993,"Arr2","CG5962"
"FBgn0000137",0.521013644669115,-0.00365922821805639,0.0618639451458003,-0.0591496098322271,0.952832944849666,NA,"FBgn0000137",30985,"ase","CG3258"
"FBgn0000139",720.320142195654,-0.120067987599356,0.0456966257249903,-2.62750226508943,0.00860142691875924,0.0463859978365984,"FBgn0000139",42936,"ash2","CG6677"
"FBgn0000140",22.3365294336354,0.432490980735352,0.141564282687791,3.05508545322252,0.00224996405424886,0.015290825171323,"FBgn0000140",42946,"asp","CG6875"
"FBgn0000146",209.235180315917,-1.02400152098295,0.0768048655011045,-13.3325084850024,1.49775471370909e-40,2.00699131637018e-38,"FBgn0000146",34524,"aub","CG6137"
"FBgn0000147",254.045914282042,-0.259049305765905,0.0644024247870467,-4.02235329838089,5.76195423486702e-05,0.000639364282695236,"FBgn0000147",41446,"aurA","CG3068"
"FBgn0000150",2607.07966443964,0.00713723077615285,0.0753528810990194,0.094717423833788,0.924539277981158,0.972332683100654,"FBgn0000150",43739,"awd","CG2210"
"FBgn0000152",586.407602040107,0.210565802772819,0.0571453250842682,3.68474240827771,0.000228934052903391,0.00216600077067767,"FBgn0000152",32645,"Axs","CG9703"
"FBgn0000153",1300.51695688599,-0.319061641664448,0.151014242877728,-2.11279171808174,0.0346185988493525,0.137360182367177,"FBgn0000153",34791,"b","CG7811"
"FBgn0000157",680.790669495074,-0.209036912430866,0.0519871500638496,-4.02093425344785,5.79677835027338e-05,0.000642650031494336,"FBgn0000157",37973,"Dll","CG3629"
"FBgn0000158",1.34359767916537,0.00595721821326042,0.105865599988165,0.0562715198697822,0.955125506725559,0.982788352133603,"FBgn0000158",43038,"bam","CG10422"
"FBgn0000163",191.192009432313,-0.189422822650746,0.099809115513232,-1.89785092951388,0.0577157220097625,0.199249347783913,"FBgn0000163",32703,"baz","CG5055"
"FBgn0000166",0.21629454365023,-0.0182411630471619,0.0394844538426863,-0.46198342061,0.644093209891273,NA,"FBgn0000166",40830,"bcd","CG1034"
"FBgn0000173",3867.74506362686,0.033040439035058,0.0565252807802216,0.584524987386156,0.558867158984255,0.791111135480284,"FBgn0000173",32358,"ben","CG18319"
"FBgn0000179",1216.34796056777,0.0379605020750682,0.0661099526199946,0.574202530340148,0.565830757249715,0.796296983490238,"FBgn0000179",31379,"bi","CG3578"
"FBgn0000180",455.024352512176,-0.115589531130089,0.0559029084168187,-2.06768367520773,0.0386697779804309,0.14892877942604,"FBgn0000180",34330,"bib","CG4722"
"FBgn0000181",7784.84861002741,-0.187870559322747,0.0395203951487131,-4.75376216800973,1.99665900424581e-06,3.00180636638321e-05,"FBgn0000181",45827,"bic","CG3644"
"FBgn0000182",0,NA,NA,NA,NA,NA,"FBgn0000182",34946,"BicC","CG4824"
"FBgn0000183",5747.42015657059,-0.0659878165200743,0.0606346533151513,-1.08828554155492,0.276469071371123,0.553121233637959,"FBgn0000183",35051,"BicD","CG6605"
"FBgn0000206",223.818100449353,-0.713813434780605,0.137066357242464,-5.20779459775023,1.91098291462379e-07,3.40442158547428e-06,"FBgn0000206",43146,"boss","CG8285"
"FBgn0000212",5030.9438905093,0.0153054950419307,0.0446615646010397,0.342699481727838,0.731824552660234,0.893791666851135,"FBgn0000212",39744,"brm","CG5942"
"FBgn0000216",0,NA,NA,NA,NA,NA,"FBgn0000216",39620,"Brd","CG3096"
"FBgn0000221",228.193495390374,0.0523663937917274,0.073477853559667,0.712682682669871,0.476042134782356,0.733489243544167,"FBgn0000221",31358,"brn","CG4934"
"FBgn0000227",0.166454197668872,0.00431359150556742,0.0308142000927662,0.139987132315015,0.888670157200052,NA,"FBgn0000227",33669,"Bsg25A","CG12205"
