,x
1,FBgn0000008
2,FBgn0000017
3,FBgn0000018
4,FBgn0000024
5,FBgn0000028
6,FBgn0000032
7,FBgn0000036
8,FBgn0000037
9,FBgn0000038
10,FBgn0000039
11,FBgn0000042
12,FBgn0000043
13,FBgn0000044
14,FBgn0000045
15,FBgn0000046
16,FBgn0000047
17,FBgn0000052
18,FBgn0000053
19,FBgn0000055
20,FBgn0000057
21,FBgn0000063
22,FBgn0000064
23,FBgn0000071
24,FBgn0000075
25,FBgn0000077
26,FBgn0000078
27,FBgn0000079
28,FBgn0000083
29,FBgn0000084
30,FBgn0000092
31,FBgn0000097
32,FBgn0000100
33,FBgn0000108
34,FBgn0000109
35,FBgn0000114
36,FBgn0000115
37,FBgn0000116
38,FBgn0000117
39,FBgn0000119
40,FBgn0000120
41,FBgn0000121
42,FBgn0000139
43,FBgn0000140
44,FBgn0000146
45,FBgn0000147
46,FBgn0000150
47,FBgn0000152
48,FBgn0000153
49,FBgn0000157
50,FBgn0000163
51,FBgn0000173
52,FBgn0000179
53,FBgn0000180
54,FBgn0000181
55,FBgn0000183
56,FBgn0000206
57,FBgn0000212
58,FBgn0000221
59,FBgn0000228
60,FBgn0000229
61,FBgn0000233
62,FBgn0000239
63,FBgn0000241
64,FBgn0000244
65,FBgn0000246
66,FBgn0000247
67,FBgn0000250
68,FBgn0000251
69,FBgn0000253
70,FBgn0000256
71,FBgn0000257
72,FBgn0000259
73,FBgn0000261
74,FBgn0000273
75,FBgn0000276
76,FBgn0000277
77,FBgn0000278
78,FBgn0000279
79,FBgn0000283
80,FBgn0000286
81,FBgn0000287
82,FBgn0000289
83,FBgn0000299
84,FBgn0000303
85,FBgn0000307
86,FBgn0000308
87,FBgn0000316
88,FBgn0000317
89,FBgn0000318
90,FBgn0000319
91,FBgn0000320
92,FBgn0000326
93,FBgn0000330
94,FBgn0000337
95,FBgn0000339
96,FBgn0000346
97,FBgn0000351
98,FBgn0000352
99,FBgn0000357
100,FBgn0000370
101,FBgn0000376
102,FBgn0000377
103,FBgn0000382
104,FBgn0000384
105,FBgn0000394
106,FBgn0000395
107,FBgn0000404
108,FBgn0000405
109,FBgn0000406
110,FBgn0000411
111,FBgn0000412
112,FBgn0000414
113,FBgn0000416
114,FBgn0000422
115,FBgn0000426
116,FBgn0000439
117,FBgn0000442
118,FBgn0000447
119,FBgn0000448
120,FBgn0000449
121,FBgn0000451
122,FBgn0000454
123,FBgn0000455
124,FBgn0000459
125,FBgn0000463
126,FBgn0000464
127,FBgn0000473
128,FBgn0000477
129,FBgn0000479
130,FBgn0000482
131,FBgn0000489
132,FBgn0000490
133,FBgn0000492
134,FBgn0000499
135,FBgn0000500
136,FBgn0000504
137,FBgn0000520
138,FBgn0000524
139,FBgn0000527
140,FBgn0000529
141,FBgn0000533
142,FBgn0000535
143,FBgn0000536
144,FBgn0000541
145,FBgn0000542
146,FBgn0000543
147,FBgn0000546
148,FBgn0000547
149,FBgn0000551
150,FBgn0000552
151,FBgn0000557
152,FBgn0000559
153,FBgn0000562
154,FBgn0000564
155,FBgn0000565
156,FBgn0000566
157,FBgn0000567
158,FBgn0000568
159,FBgn0000575
160,FBgn0000576
161,FBgn0000577
162,FBgn0000578
163,FBgn0000579
164,FBgn0000581
165,FBgn0000588
166,FBgn0000592
167,FBgn0000594
168,FBgn0000606
169,FBgn0000611
170,FBgn0000615
171,FBgn0000617
172,FBgn0000618
173,FBgn0000625
174,FBgn0000629
175,FBgn0000633
176,FBgn0000635
177,FBgn0000636
178,FBgn0000639
179,FBgn0000644
180,FBgn0000659
181,FBgn0000662
182,FBgn0000667
183,FBgn0000709
184,FBgn0000711
185,FBgn0000715
186,FBgn0000719
187,FBgn0000721
188,FBgn0000723
189,FBgn0000808
190,FBgn0000810
191,FBgn0000826
192,FBgn0000927
193,FBgn0000928
194,FBgn0000964
195,FBgn0000996
196,FBgn0001075
197,FBgn0001077
198,FBgn0001078
199,FBgn0001079
200,FBgn0001083
201,FBgn0001084
202,FBgn0001085
203,FBgn0001086
204,FBgn0001087
205,FBgn0001089
206,FBgn0001090
207,FBgn0001091
208,FBgn0001092
209,FBgn0001098
210,FBgn0001099
211,FBgn0001104
212,FBgn0001105
213,FBgn0001108
214,FBgn0001112
215,FBgn0001114
216,FBgn0001122
217,FBgn0001123
218,FBgn0001124
219,FBgn0001125
220,FBgn0001128
221,FBgn0001133
222,FBgn0001134
223,FBgn0001137
224,FBgn0001138
225,FBgn0001139
226,FBgn0001142
227,FBgn0001145
228,FBgn0001147
229,FBgn0001149
230,FBgn0001150
231,FBgn0001168
232,FBgn0001169
233,FBgn0001174
234,FBgn0001179
235,FBgn0001180
236,FBgn0001185
237,FBgn0001186
238,FBgn0001187
239,FBgn0001189
240,FBgn0001197
241,FBgn0001202
242,FBgn0001206
243,FBgn0001208
244,FBgn0001215
245,FBgn0001216
246,FBgn0001218
247,FBgn0001220
248,FBgn0001222
249,FBgn0001224
250,FBgn0001225
251,FBgn0001226
252,FBgn0001227
253,FBgn0001229
254,FBgn0001230
255,FBgn0001233
256,FBgn0001234
257,FBgn0001235
258,FBgn0001247
259,FBgn0001248
260,FBgn0001250
261,FBgn0001253
262,FBgn0001255
263,FBgn0001256
264,FBgn0001257
265,FBgn0001258
266,FBgn0001263
267,FBgn0001269
268,FBgn0001276
269,FBgn0001280
270,FBgn0001285
271,FBgn0001291
272,FBgn0001296
273,FBgn0001297
274,FBgn0001301
275,FBgn0001308
276,FBgn0001311
277,FBgn0001313
278,FBgn0001316
279,FBgn0001319
280,FBgn0001320
281,FBgn0001321
282,FBgn0001323
283,FBgn0001324
284,FBgn0001325
285,FBgn0001330
286,FBgn0001341
287,FBgn0001404
288,FBgn0001491
289,FBgn0001565
290,FBgn0001612
291,FBgn0001624
292,FBgn0001941
293,FBgn0001942
294,FBgn0001961
295,FBgn0001965
296,FBgn0001970
297,FBgn0001974
298,FBgn0001977
299,FBgn0001978
300,FBgn0001986
301,FBgn0001987
302,FBgn0001989
303,FBgn0001990
304,FBgn0001991
305,FBgn0001994
306,FBgn0001995
307,FBgn0002021
308,FBgn0002022
309,FBgn0002023
310,FBgn0002031
311,FBgn0002036
312,FBgn0002044
313,FBgn0002069
314,FBgn0002121
315,FBgn0002174
316,FBgn0002183
317,FBgn0002283
318,FBgn0002284
319,FBgn0002306
320,FBgn0002354
321,FBgn0002413
322,FBgn0002431
323,FBgn0002441
324,FBgn0002466
325,FBgn0002521
326,FBgn0002522
327,FBgn0002524
328,FBgn0002525
329,FBgn0002526
330,FBgn0002534
331,FBgn0002542
332,FBgn0002543
333,FBgn0002552
334,FBgn0002562
335,FBgn0002563
336,FBgn0002564
337,FBgn0002565
338,FBgn0002566
339,FBgn0002567
340,FBgn0002571
341,FBgn0002576
342,FBgn0002577
343,FBgn0002578
344,FBgn0002579
345,FBgn0002590
346,FBgn0002593
347,FBgn0002607
348,FBgn0002609
349,FBgn0002622
350,FBgn0002626
351,FBgn0002632
352,FBgn0002638
353,FBgn0002641
354,FBgn0002643
355,FBgn0002645
356,FBgn0002673
357,FBgn0002707
358,FBgn0002709
359,FBgn0002715
360,FBgn0002716
361,FBgn0002719
362,FBgn0002723
363,FBgn0002732
364,FBgn0002733
365,FBgn0002736
366,FBgn0002772
367,FBgn0002773
368,FBgn0002774
369,FBgn0002775
370,FBgn0002778
371,FBgn0002780
372,FBgn0002781
373,FBgn0002783
374,FBgn0002787
375,FBgn0002789
376,FBgn0002791
377,FBgn0002862
378,FBgn0002868
379,FBgn0002872
380,FBgn0002873
381,FBgn0002878
382,FBgn0002887
383,FBgn0002891
384,FBgn0002899
385,FBgn0002901
386,FBgn0002905
387,FBgn0002906
388,FBgn0002914
389,FBgn0002917
390,FBgn0002921
391,FBgn0002924
392,FBgn0002926
393,FBgn0002930
394,FBgn0002931
395,FBgn0002932
396,FBgn0002936
397,FBgn0002937
398,FBgn0002938
399,FBgn0002939
400,FBgn0002940
401,FBgn0002941
402,FBgn0002945
403,FBgn0002948
404,FBgn0002973
405,FBgn0002985
406,FBgn0002989
407,FBgn0003002
408,FBgn0003008
409,FBgn0003011
410,FBgn0003016
411,FBgn0003023
412,FBgn0003028
413,FBgn0003041
414,FBgn0003042
415,FBgn0003044
416,FBgn0003048
417,FBgn0003053
418,FBgn0003062
419,FBgn0003068
420,FBgn0003071
421,FBgn0003074
422,FBgn0003076
423,FBgn0003079
424,FBgn0003082
425,FBgn0003087
426,FBgn0003089
427,FBgn0003090
428,FBgn0003091
429,FBgn0003093
430,FBgn0003116
431,FBgn0003117
432,FBgn0003118
433,FBgn0003124
434,FBgn0003130
435,FBgn0003132
436,FBgn0003134
437,FBgn0003137
438,FBgn0003139
439,FBgn0003141
440,FBgn0003149
441,FBgn0003159
442,FBgn0003162
443,FBgn0003165
444,FBgn0003169
445,FBgn0003174
446,FBgn0003175
447,FBgn0003187
448,FBgn0003189
449,FBgn0003204
450,FBgn0003205
451,FBgn0003206
452,FBgn0003209
453,FBgn0003210
454,FBgn0003218
455,FBgn0003227
456,FBgn0003231
457,FBgn0003248
458,FBgn0003249
459,FBgn0003250
460,FBgn0003255
461,FBgn0003256
462,FBgn0003257
463,FBgn0003261
464,FBgn0003267
465,FBgn0003268
466,FBgn0003274
467,FBgn0003275
468,FBgn0003277
469,FBgn0003278
470,FBgn0003279
471,FBgn0003285
472,FBgn0003292
473,FBgn0003295
474,FBgn0003300
475,FBgn0003301
476,FBgn0003302
477,FBgn0003308
478,FBgn0003310
479,FBgn0003312
480,FBgn0003317
481,FBgn0003321
482,FBgn0003326
483,FBgn0003328
484,FBgn0003330
485,FBgn0003334
486,FBgn0003339
487,FBgn0003345
488,FBgn0003346
489,FBgn0003353
490,FBgn0003358
491,FBgn0003360
492,FBgn0003366
493,FBgn0003371
494,FBgn0003372
495,FBgn0003380
496,FBgn0003386
497,FBgn0003388
498,FBgn0003390
499,FBgn0003391
500,FBgn0003392
501,FBgn0003396
502,FBgn0003401
503,FBgn0003410
504,FBgn0003415
505,FBgn0003416
506,FBgn0003423
507,FBgn0003429
508,FBgn0003430
509,FBgn0003435
510,FBgn0003444
511,FBgn0003447
512,FBgn0003449
513,FBgn0003459
514,FBgn0003460
515,FBgn0003462
516,FBgn0003463
517,FBgn0003464
518,FBgn0003475
519,FBgn0003479
520,FBgn0003480
521,FBgn0003482
522,FBgn0003483
523,FBgn0003495
524,FBgn0003502
525,FBgn0003507
526,FBgn0003512
527,FBgn0003513
528,FBgn0003514
529,FBgn0003515
530,FBgn0003517
531,FBgn0003520
532,FBgn0003525
533,FBgn0003557
534,FBgn0003559
535,FBgn0003567
536,FBgn0003575
537,FBgn0003598
538,FBgn0003607
539,FBgn0003612
540,FBgn0003638
541,FBgn0003651
542,FBgn0003654
543,FBgn0003655
544,FBgn0003656
545,FBgn0003660
546,FBgn0003676
547,FBgn0003683
548,FBgn0003687
549,FBgn0003701
550,FBgn0003710
551,FBgn0003714
552,FBgn0003716
553,FBgn0003719
554,FBgn0003721
555,FBgn0003731
556,FBgn0003741
557,FBgn0003742
558,FBgn0003744
559,FBgn0003747
560,FBgn0003748
561,FBgn0003751
562,FBgn0003861
563,FBgn0003862
564,FBgn0003866
565,FBgn0003867
566,FBgn0003870
567,FBgn0003882
568,FBgn0003884
569,FBgn0003885
570,FBgn0003886
571,FBgn0003888
572,FBgn0003889
573,FBgn0003890
574,FBgn0003891
575,FBgn0003892
576,FBgn0003896
577,FBgn0003930
578,FBgn0003938
579,FBgn0003941
580,FBgn0003942
581,FBgn0003943
582,FBgn0003944
583,FBgn0003950
584,FBgn0003963
585,FBgn0003964
586,FBgn0003965
587,FBgn0003969
588,FBgn0003975
589,FBgn0003977
590,FBgn0003978
591,FBgn0003984
592,FBgn0003997
593,FBgn0004034
594,FBgn0004045
595,FBgn0004047
596,FBgn0004049
597,FBgn0004050
598,FBgn0004055
599,FBgn0004057
600,FBgn0004066
601,FBgn0004087
602,FBgn0004101
603,FBgn0004102
604,FBgn0004103
605,FBgn0004106
606,FBgn0004107
607,FBgn0004108
608,FBgn0004110
609,FBgn0004117
610,FBgn0004118
611,FBgn0004132
612,FBgn0004133
613,FBgn0004167
614,FBgn0004168
615,FBgn0004169
616,FBgn0004177
617,FBgn0004179
618,FBgn0004186
619,FBgn0004187
620,FBgn0004188
621,FBgn0004191
622,FBgn0004192
623,FBgn0004197
624,FBgn0004198
625,FBgn0004227
626,FBgn0004228
627,FBgn0004237
628,FBgn0004240
629,FBgn0004242
630,FBgn0004244
631,FBgn0004359
632,FBgn0004360
633,FBgn0004362
634,FBgn0004363
635,FBgn0004364
636,FBgn0004367
637,FBgn0004368
638,FBgn0004369
639,FBgn0004370
640,FBgn0004372
641,FBgn0004373
642,FBgn0004374
643,FBgn0004378
644,FBgn0004379
645,FBgn0004380
646,FBgn0004381
647,FBgn0004387
648,FBgn0004390
649,FBgn0004391
650,FBgn0004394
651,FBgn0004395
652,FBgn0004396
653,FBgn0004397
654,FBgn0004401
655,FBgn0004403
656,FBgn0004404
657,FBgn0004406
658,FBgn0004419
659,FBgn0004432
660,FBgn0004435
661,FBgn0004436
662,FBgn0004449
663,FBgn0004456
664,FBgn0004463
665,FBgn0004465
666,FBgn0004507
667,FBgn0004509
668,FBgn0004510
669,FBgn0004511
670,FBgn0004512
671,FBgn0004513
672,FBgn0004514
673,FBgn0004516
674,FBgn0004552
675,FBgn0004554
676,FBgn0004556
677,FBgn0004567
678,FBgn0004569
679,FBgn0004573
680,FBgn0004574
681,FBgn0004575
682,FBgn0004580
683,FBgn0004581
684,FBgn0004583
685,FBgn0004584
686,FBgn0004587
687,FBgn0004595
688,FBgn0004597
689,FBgn0004598
690,FBgn0004606
691,FBgn0004607
692,FBgn0004611
693,FBgn0004618
694,FBgn0004619
695,FBgn0004620
696,FBgn0004622
697,FBgn0004623
698,FBgn0004629
699,FBgn0004635
700,FBgn0004636
701,FBgn0004638
702,FBgn0004643
703,FBgn0004646
704,FBgn0004647
705,FBgn0004648
706,FBgn0004650
707,FBgn0004652
708,FBgn0004654
709,FBgn0004655
710,FBgn0004656
711,FBgn0004657
712,FBgn0004666
713,FBgn0004687
714,FBgn0004698
715,FBgn0004784
716,FBgn0004795
717,FBgn0004797
718,FBgn0004811
719,FBgn0004828
720,FBgn0004832
721,FBgn0004837
722,FBgn0004838
723,FBgn0004839
724,FBgn0004841
725,FBgn0004842
726,FBgn0004852
727,FBgn0004854
728,FBgn0004855
729,FBgn0004856
730,FBgn0004858
731,FBgn0004859
732,FBgn0004860
733,FBgn0004861
734,FBgn0004862
735,FBgn0004863
736,FBgn0004864
737,FBgn0004865
738,FBgn0004867
739,FBgn0004868
740,FBgn0004870
741,FBgn0004872
742,FBgn0004875
743,FBgn0004876
744,FBgn0004878
745,FBgn0004880
746,FBgn0004882
747,FBgn0004885
748,FBgn0004888
749,FBgn0004889
750,FBgn0004893
751,FBgn0004895
752,FBgn0004896
753,FBgn0004897
754,FBgn0004898
755,FBgn0004901
756,FBgn0004903
757,FBgn0004907
758,FBgn0004908
759,FBgn0004910
760,FBgn0004913
761,FBgn0004914
762,FBgn0004915
763,FBgn0004919
